Sales Person,Country,Product,Date,Amount,Boxes Shipped,Discount,Priority for shipping,,Unique Name ,Total sales Per name ,Unique Product,,Average per Product
Wilone O'Kielt,Australia,50% Dark Bites,3-Aug-22,"$10,031 ",114,501.55,needs Shipping,,,,,,
Gigi Bohling,Canada,White Choc,11-Jul-22,"$6,587 ",4,329.35,Delay Shipping,,,,,,
Wilone O'Kielt,New Zealand,Eclairs,11-Mar-22,"$3,311 ",22,165.55,Delay Shipping,,,,,,
Brien Boise,UK,Peanut Butter Cubes,10-Jan-22,"$15,330 ",30,766.5,Delay Shipping,,,,,,
Roddy Speechley,UK,Baker's Choco Chips,4-Apr-22,"$14,028 ",351,701.4,needs Shipping,,,,,,
Karlen McCaffrey,Australia,50% Dark Bites,17-Jan-22,"$6,678 ",708,333.9,needs Shipping,,,,,,
Marney O'Breen,New Zealand,Organic Choco Syrup,8-Jul-22,"$8,624 ",50,431.2,needs Shipping,,,,,,
Jan Morforth,UK,Organic Choco Syrup,12-Apr-22,"$1,197 ",356,59.85,needs Shipping,,,,,,
Rafaelita Blaksland,Canada,Fruit & Nut Bars,24-Aug-22,$483 ,185,24.15,needs Shipping,,,,,,
Ches Bonnell,UK,Choco Coated Almonds,7-Jun-22,"$1,687 ",236,84.35,needs Shipping,,,,,,
Gunar Cockshoot,Canada,Almond Choco,28-Jul-22,"$1,309 ",30,65.45,Delay Shipping,,,,,,
Husein Augar,USA,99% Dark & Pure,21-Feb-22,"$9,534 ",111,762.72,needs Shipping,,,,,,
Dennison Crosswaite,Canada,Mint Chip Choco,8-Apr-22,"$1,694 ",289,84.7,needs Shipping,,,,,,
Brien Boise,UK,Manuka Honey Choco,28-Jun-22,$70 ,103,3.5,needs Shipping,,,,,,
Van Tuxwell,UK,Baker's Choco Chips,24-Mar-22,"$2,443 ",20,122.15,Delay Shipping,,,,,,
Barr Faughny,Australia,Caramel Stuffed Bars,29-Jul-22,"$2,933 ",55,146.65,needs Shipping,,,,,,
Dennison Crosswaite,USA,Eclairs,25-May-22,"$2,044 ",90,163.52,needs Shipping,,,,,,
Gigi Bohling,Australia,Raspberry Choco,30-Mar-22,"$6,524 ",303,326.2,needs Shipping,,,,,,
Dennison Crosswaite,USA,Organic Choco Syrup,18-Jul-22,"$12,656 ",126,1012.48,needs Shipping,,,,,,
Beverie Moffet,Canada,Orange Choco,10-May-22,"$8,722 ",109,436.1,needs Shipping,,,,,,
Mallorie Waber,Australia,Choco Coated Almonds,18-Mar-22,"$15,750 ",92,787.5,needs Shipping,,,,,,
Ches Bonnell,India,Caramel Stuffed Bars,15-Jun-22,"$6,839 ",56,341.95,needs Shipping,,,,,,
Van Tuxwell,Canada,50% Dark Bites,12-May-22,"$13,685 ",58,684.25,needs Shipping,,,,,,
Kelci Walkden,New Zealand,Baker's Choco Chips,23-Jun-22,"$2,912 ",110,145.6,needs Shipping,,,,,,
Beverie Moffet,India,Spicy Special Slims,21-Apr-22,"$3,339 ",171,166.95,needs Shipping,,,,,,
Gigi Bohling,Australia,Almond Choco,17-Aug-22,$910 ,117,45.5,needs Shipping,,,,,,
Rafaelita Blaksland,New Zealand,Eclairs,7-Feb-22,"$19,481 ",51,974.05,needs Shipping,,,,,,
Kelci Walkden,Canada,Smooth Sliky Salty,17-Mar-22,"$8,099 ",118,404.95,needs Shipping,,,,,,
Jan Morforth,India,Baker's Choco Chips,1-Aug-22,"$13,727 ",79,686.35,needs Shipping,,,,,,
Jehu Rudeforth,Australia,Milk Bars,18-Mar-22,"$8,659 ",29,432.95,Delay Shipping,,,,,,
Gigi Bohling,Canada,Fruit & Nut Bars,14-Jun-22,"$5,782 ",103,289.1,needs Shipping,,,,,,
Beverie Moffet,UK,Eclairs,22-Apr-22,"$8,463 ",155,423.15,needs Shipping,,,,,,
Marney O'Breen,New Zealand,Eclairs,18-Jan-22,"$4,914 ",31,245.7,Delay Shipping,,,,,,
Husein Augar,Australia,99% Dark & Pure,26-Aug-22,"$3,087 ",128,154.35,needs Shipping,,,,,,
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,10-Jun-22,"$9,205 ",419,460.25,needs Shipping,,,,,,
Curtice Advani,Canada,70% Dark Bites,31-Jan-22,"$2,303 ",7,115.15,Delay Shipping,,,,,,
Kelci Walkden,New Zealand,Manuka Honey Choco,8-Apr-22,"$1,358 ",106,67.9,needs Shipping,,,,,,
Dotty Strutley,Australia,Baker's Choco Chips,7-Jun-22,"$3,605 ",68,180.25,needs Shipping,,,,,,
Barr Faughny,Australia,85% Dark Bars,10-Feb-22,"$8,498 ",44,424.9,Delay Shipping,,,,,,
Beverie Moffet,Australia,50% Dark Bites,16-May-22,$700 ,457,35,needs Shipping,,,,,,
Gunar Cockshoot,India,Baker's Choco Chips,18-Mar-22,"$2,191 ",524,109.55,needs Shipping,,,,,,
Van Tuxwell,Australia,50% Dark Bites,13-Jul-22,$644 ,137,32.2,needs Shipping,,,,,,
Oby Sorrel,USA,Manuka Honey Choco,25-Jul-22,"$4,340 ",86,347.2,needs Shipping,,,,,,
Van Tuxwell,Canada,Choco Coated Almonds,19-Aug-22,"$2,282 ",296,114.1,needs Shipping,,,,,,
Karlen McCaffrey,Canada,70% Dark Bites,24-Jun-22,"$7,714 ",597,385.7,needs Shipping,,,,,,
Kelci Walkden,Canada,Fruit & Nut Bars,20-Jun-22,$826 ,149,41.3,needs Shipping,,,,,,
Camilla Castle,India,99% Dark & Pure,2-Aug-22,$203 ,207,10.15,needs Shipping,,,,,,
Madelene Upcott,New Zealand,70% Dark Bites,22-Feb-22,"$13,356 ",93,667.8,needs Shipping,,,,,,
Mallorie Waber,New Zealand,Orange Choco,1-Feb-22,"$6,510 ",23,325.5,Delay Shipping,,,,,,
Jan Morforth,Canada,70% Dark Bites,14-Feb-22,"$5,894 ",305,294.7,needs Shipping,,,,,,
Kelci Walkden,Australia,Milk Bars,24-Feb-22,"$7,910 ",125,395.5,needs Shipping,,,,,,
Dennison Crosswaite,India,Orange Choco,18-Mar-22,$784 ,129,39.2,needs Shipping,,,,,,
Husein Augar,UK,Eclairs,30-Aug-22,"$1,750 ",252,87.5,needs Shipping,,,,,,
Gigi Bohling,USA,Peanut Butter Cubes,9-May-22,$280 ,75,22.4,needs Shipping,,,,,,
Wilone O'Kielt,USA,Smooth Sliky Salty,18-Jan-22,$504 ,87,40.32,needs Shipping,,,,,,
Curtice Advani,India,White Choc,4-Jul-22,"$7,154 ",342,357.7,needs Shipping,,,,,,
Oby Sorrel,New Zealand,Spicy Special Slims,3-Jun-22,"$1,617 ",13,80.85,Delay Shipping,,,,,,
Beverie Moffet,New Zealand,Peanut Butter Cubes,23-Feb-22,"$10,822 ",30,541.1,Delay Shipping,,,,,,
Dotty Strutley,New Zealand,99% Dark & Pure,9-May-22,"$10,724 ",203,536.2,needs Shipping,,,,,,
Kelci Walkden,India,70% Dark Bites,6-Jun-22,"$3,640 ",106,182,needs Shipping,,,,,,
Kelci Walkden,India,Drinking Coco,4-Jul-22,"$7,532 ",234,376.6,needs Shipping,,,,,,
Brien Boise,New Zealand,Drinking Coco,6-Jun-22,"$1,582 ",100,79.1,needs Shipping,,,,,,
Dotty Strutley,Australia,Almond Choco,13-May-22,"$1,456 ",91,72.8,needs Shipping,,,,,,
Wilone O'Kielt,New Zealand,Organic Choco Syrup,31-Jan-22,"$2,016 ",277,100.8,needs Shipping,,,,,,
Ches Bonnell,New Zealand,Caramel Stuffed Bars,30-Jun-22,"$7,588 ",42,379.4,Delay Shipping,,,,,,
Barr Faughny,Canada,Manuka Honey Choco,25-Aug-22,"$3,402 ",249,170.1,needs Shipping,,,,,,
Gigi Bohling,New Zealand,Smooth Sliky Salty,10-Jan-22,$700 ,97,35,needs Shipping,,,,,,
Brien Boise,USA,Manuka Honey Choco,22-Aug-22,"$1,904 ",8,152.32,Delay Shipping,,,,,,
Roddy Speechley,New Zealand,85% Dark Bars,14-Apr-22,"$4,844 ",275,242.2,needs Shipping,,,,,,
Oby Sorrel,UK,Smooth Sliky Salty,31-May-22,"$9,625 ",313,481.25,needs Shipping,,,,,,
Oby Sorrel,UK,Raspberry Choco,8-Apr-22,"$4,599 ",323,229.95,needs Shipping,,,,,,
Roddy Speechley,USA,Drinking Coco,21-Feb-22,"$3,003 ",155,240.24,needs Shipping,,,,,,
Andria Kimpton,Australia,Manuka Honey Choco,30-Mar-22,"$9,744 ",377,487.2,needs Shipping,,,,,,
Mallorie Waber,India,Raspberry Choco,2-Mar-22,"$1,400 ",2,70,Delay Shipping,,,,,,
Jehu Rudeforth,USA,Orange Choco,28-Jul-22,$364 ,170,29.12,needs Shipping,,,,,,
Kaine Padly,New Zealand,70% Dark Bites,24-Mar-22,"$7,231 ",38,361.55,Delay Shipping,,,,,,
Curtice Advani,Australia,After Nines,11-Aug-22,$63 ,105,3.15,needs Shipping,,,,,,
Husein Augar,UK,Almond Choco,17-May-22,"$8,309 ",166,415.45,needs Shipping,,,,,,
Kaine Padly,Canada,Choco Coated Almonds,18-May-22,"$3,164 ",164,158.2,needs Shipping,,,,,,
Roddy Speechley,UK,Peanut Butter Cubes,17-Aug-22,"$5,691 ",171,284.55,needs Shipping,,,,,,
Ches Bonnell,New Zealand,Eclairs,4-Apr-22,$490 ,49,24.5,Delay Shipping,,,,,,
Brien Boise,India,85% Dark Bars,9-Aug-22,"$18,032 ",205,901.6,needs Shipping,,,,,,
Brien Boise,New Zealand,Organic Choco Syrup,17-Jan-22,$637 ,313,31.85,needs Shipping,,,,,,
Andria Kimpton,Canada,White Choc,14-Feb-22,"$4,067 ",29,203.35,Delay Shipping,,,,,,
Gigi Bohling,New Zealand,Orange Choco,16-May-22,"$8,204 ",307,410.2,needs Shipping,,,,,,
Ches Bonnell,Canada,Smooth Sliky Salty,16-Mar-22,"$9,870 ",121,493.5,needs Shipping,,,,,,
Husein Augar,Canada,70% Dark Bites,31-Jan-22,"$5,131 ",285,256.55,needs Shipping,,,,,,
Barr Faughny,Canada,Organic Choco Syrup,10-Mar-22,"$1,141 ",205,57.05,needs Shipping,,,,,,
Oby Sorrel,UK,Organic Choco Syrup,30-Jun-22,"$7,980 ",157,399,needs Shipping,,,,,,
Van Tuxwell,New Zealand,Eclairs,1-Mar-22,"$5,229 ",182,261.45,needs Shipping,,,,,,
Mallorie Waber,UK,Drinking Coco,27-May-22,"$3,423 ",100,171.15,needs Shipping,,,,,,
Oby Sorrel,UK,Milk Bars,11-Jul-22,"$6,468 ",223,323.4,needs Shipping,,,,,,
Karlen McCaffrey,New Zealand,Mint Chip Choco,2-Mar-22,"$4,326 ",61,216.3,needs Shipping,,,,,,
Jehu Rudeforth,USA,Raspberry Choco,4-Mar-22,"$7,154 ",133,572.32,needs Shipping,,,,,,
Kelci Walkden,UK,85% Dark Bars,23-Jun-22,"$3,997 ",228,199.85,needs Shipping,,,,,,
Kelci Walkden,USA,Almond Choco,27-Jan-22,"$5,180 ",233,414.4,needs Shipping,,,,,,
Marney O'Breen,Canada,Orange Choco,14-Jan-22,"$2,723 ",425,136.15,needs Shipping,,,,,,
Dennison Crosswaite,India,Fruit & Nut Bars,29-Jul-22,$952 ,24,47.6,Delay Shipping,,,,,,
Brien Boise,Canada,Smooth Sliky Salty,13-May-22,"$5,691 ",495,284.55,needs Shipping,,,,,,
Barr Faughny,Canada,Baker's Choco Chips,3-Feb-22,"$10,969 ",170,548.45,needs Shipping,,,,,,
Brien Boise,India,Smooth Sliky Salty,27-May-22,"$5,964 ",26,298.2,Delay Shipping,,,,,,
Jan Morforth,Australia,Drinking Coco,18-Feb-22,"$2,821 ",24,141.05,Delay Shipping,,,,,,
Brien Boise,India,Spicy Special Slims,28-Jan-22,"$1,302 ",33,65.1,Delay Shipping,,,,,,
Van Tuxwell,UK,Eclairs,29-Jun-22,"$5,474 ",109,273.7,needs Shipping,,,,,,
Wilone O'Kielt,India,Caramel Stuffed Bars,13-Jan-22,"$4,179 ",276,208.95,needs Shipping,,,,,,
Jehu Rudeforth,UK,After Nines,27-Jun-22,"$1,946 ",164,97.3,needs Shipping,,,,,,
Barr Faughny,Canada,White Choc,29-Mar-22,"$4,291 ",1,214.55,Delay Shipping,,,,,,
Gunar Cockshoot,India,Organic Choco Syrup,3-Jun-22,"$7,196 ",160,359.8,needs Shipping,,,,,,
Mallorie Waber,Canada,Smooth Sliky Salty,21-Mar-22,"$1,939 ",98,96.95,needs Shipping,,,,,,
Mallorie Waber,India,Eclairs,12-Apr-22,"$10,437 ",46,521.85,Delay Shipping,,,,,,
Rafaelita Blaksland,Australia,Raspberry Choco,19-Jan-22,"$6,916 ",259,345.8,needs Shipping,,,,,,
Karlen McCaffrey,UK,50% Dark Bites,6-Apr-22,"$3,647 ",310,182.35,needs Shipping,,,,,,
Kaine Padly,Australia,50% Dark Bites,2-Aug-22,"$8,995 ",78,449.75,needs Shipping,,,,,,
Gigi Bohling,Australia,Eclairs,12-Apr-22,"$7,252 ",136,362.6,needs Shipping,,,,,,
Oby Sorrel,India,Drinking Coco,21-Jul-22,"$16,380 ",130,819,needs Shipping,,,,,,
Van Tuxwell,New Zealand,Baker's Choco Chips,22-Mar-22,"$9,660 ",24,483,Delay Shipping,,,,,,
Husein Augar,India,Peanut Butter Cubes,9-May-22,"$4,522 ",5,226.1,Delay Shipping,,,,,,
Andria Kimpton,Australia,Baker's Choco Chips,9-Aug-22,$329 ,109,16.45,needs Shipping,,,,,,
Madelene Upcott,Canada,Choco Coated Almonds,20-Jul-22,"$3,458 ",294,172.9,needs Shipping,,,,,,
Brien Boise,India,70% Dark Bites,14-Apr-22,"$4,641 ",413,232.05,needs Shipping,,,,,,
Jehu Rudeforth,Canada,White Choc,25-Jan-22,"$4,627 ",136,231.35,needs Shipping,,,,,,
Andria Kimpton,Australia,Almond Choco,25-Apr-22,"$3,192 ",175,159.6,needs Shipping,,,,,,
Dotty Strutley,Canada,After Nines,17-Jan-22,$252 ,237,12.6,needs Shipping,,,,,,
Karlen McCaffrey,USA,Eclairs,15-Aug-22,$868 ,125,69.44,needs Shipping,,,,,,
Karlen McCaffrey,Canada,Fruit & Nut Bars,2-Jun-22,$210 ,16,10.5,Delay Shipping,,,,,,
Gunar Cockshoot,USA,85% Dark Bars,30-Jun-22,"$7,007 ",135,560.56,needs Shipping,,,,,,
Dotty Strutley,New Zealand,Raspberry Choco,10-Feb-22,"$5,845 ",91,292.25,needs Shipping,,,,,,
Marney O'Breen,Canada,Caramel Stuffed Bars,23-Feb-22,"$1,372 ",614,68.6,needs Shipping,,,,,,
Dennison Crosswaite,India,Organic Choco Syrup,27-Jan-22,"$8,428 ",216,421.4,needs Shipping,,,,,,
Camilla Castle,UK,Mint Chip Choco,26-May-22,"$4,977 ",317,248.85,needs Shipping,,,,,,
Brien Boise,USA,70% Dark Bites,14-Apr-22,"$1,694 ",21,135.52,Delay Shipping,,,,,,
Madelene Upcott,Australia,99% Dark & Pure,1-Aug-22,"$4,326 ",154,216.3,needs Shipping,,,,,,
Mallorie Waber,Australia,Eclairs,22-Aug-22,"$9,527 ",222,476.35,needs Shipping,,,,,,
Marney O'Breen,India,99% Dark & Pure,22-Jul-22,"$10,766 ",157,538.3,needs Shipping,,,,,,
Husein Augar,USA,Fruit & Nut Bars,28-Apr-22,"$1,288 ",27,103.04,Delay Shipping,,,,,,
Kelci Walkden,Australia,Almond Choco,30-May-22,"$4,879 ",350,243.95,needs Shipping,,,,,,
Ches Bonnell,USA,Milk Bars,21-Jul-22,"$2,408 ",157,192.64,needs Shipping,,,,,,
Jan Morforth,UK,Caramel Stuffed Bars,2-Aug-22,"$3,094 ",468,154.7,needs Shipping,,,,,,
Brien Boise,New Zealand,70% Dark Bites,15-Jun-22,"$7,231 ",130,361.55,needs Shipping,,,,,,
Oby Sorrel,India,85% Dark Bars,5-Jul-22,"$8,981 ",130,449.05,needs Shipping,,,,,,
Kaine Padly,New Zealand,Smooth Sliky Salty,12-Apr-22,$7 ,518,0.35,needs Shipping,,,,,,
Gigi Bohling,Australia,70% Dark Bites,18-Aug-22,"$1,372 ",105,68.6,needs Shipping,,,,,,
Jan Morforth,UK,50% Dark Bites,12-Jan-22,"$5,250 ",293,262.5,needs Shipping,,,,,,
Gunar Cockshoot,Canada,White Choc,11-Aug-22,"$7,560 ",15,378,Delay Shipping,,,,,,
Jehu Rudeforth,Australia,Spicy Special Slims,13-Jan-22,"$5,012 ",384,250.6,needs Shipping,,,,,,
Husein Augar,UK,Baker's Choco Chips,29-Apr-22,"$3,038 ",135,151.9,needs Shipping,,,,,,
Rafaelita Blaksland,New Zealand,After Nines,7-Jul-22,"$1,099 ",92,54.95,needs Shipping,,,,,,
Madelene Upcott,New Zealand,Mint Chip Choco,11-Mar-22,"$7,413 ",4,370.65,Delay Shipping,,,,,,
Madelene Upcott,UK,70% Dark Bites,16-Feb-22,"$5,397 ",239,269.85,needs Shipping,,,,,,
Barr Faughny,Australia,Organic Choco Syrup,7-Jan-22,"$2,303 ",33,115.15,Delay Shipping,,,,,,
Beverie Moffet,New Zealand,Drinking Coco,12-Jan-22,"$1,141 ",518,57.05,needs Shipping,,,,,,
Beverie Moffet,India,Eclairs,9-Jun-22,"$10,325 ",147,516.25,needs Shipping,,,,,,
Andria Kimpton,India,Eclairs,16-May-22,"$2,149 ",84,107.45,needs Shipping,,,,,,
Gigi Bohling,UK,85% Dark Bars,23-Jun-22,"$12,362 ",94,618.1,needs Shipping,,,,,,
Roddy Speechley,UK,Raspberry Choco,28-Jan-22,"$12,635 ",194,631.75,needs Shipping,,,,,,
Dotty Strutley,UK,Mint Chip Choco,14-Jul-22,"$2,443 ",216,122.15,needs Shipping,,,,,,
Barr Faughny,Canada,Drinking Coco,18-Apr-22,"$6,237 ",247,311.85,needs Shipping,,,,,,
Oby Sorrel,USA,Milk Bars,14-Jun-22,"$1,736 ",79,138.88,needs Shipping,,,,,,
Oby Sorrel,UK,Orange Choco,15-Apr-22,"$7,315 ",237,365.75,needs Shipping,,,,,,
Curtice Advani,Canada,Peanut Butter Cubes,19-May-22,"$4,935 ",63,246.75,needs Shipping,,,,,,
Gigi Bohling,India,White Choc,13-Apr-22,"$1,393 ",172,69.65,needs Shipping,,,,,,
Husein Augar,Canada,Choco Coated Almonds,15-Aug-22,"$3,381 ",408,169.05,needs Shipping,,,,,,
Wilone O'Kielt,India,Choco Coated Almonds,22-Aug-22,"$2,933 ",233,146.65,needs Shipping,,,,,,
Wilone O'Kielt,New Zealand,Baker's Choco Chips,22-Apr-22,"$3,836 ",59,191.8,needs Shipping,,,,,,
Kaine Padly,UK,Choco Coated Almonds,3-Aug-22,"$8,022 ",123,401.1,needs Shipping,,,,,,
Dennison Crosswaite,New Zealand,Organic Choco Syrup,4-Jan-22,$371 ,229,18.55,needs Shipping,,,,,,
Kelci Walkden,Canada,After Nines,13-Jan-22,"$16,702 ",198,835.1,needs Shipping,,,,,,
Van Tuxwell,Australia,Baker's Choco Chips,11-May-22,"$13,258 ",32,662.9,Delay Shipping,,,,,,
Husein Augar,New Zealand,Peanut Butter Cubes,16-Feb-22,"$2,058 ",236,102.9,needs Shipping,,,,,,
Kaine Padly,UK,Caramel Stuffed Bars,20-May-22,"$10,192 ",67,509.6,needs Shipping,,,,,,
Jehu Rudeforth,UK,Drinking Coco,3-Feb-22,"$7,140 ",438,357,needs Shipping,,,,,,
Beverie Moffet,India,Manuka Honey Choco,6-May-22,"$9,835 ",167,491.75,needs Shipping,,,,,,
Gunar Cockshoot,UK,Choco Coated Almonds,30-Jun-22,"$5,775 ",135,288.75,needs Shipping,,,,,,
Gunar Cockshoot,UK,Smooth Sliky Salty,22-Mar-22,$749 ,148,37.45,needs Shipping,,,,,,
Camilla Castle,Canada,Orange Choco,17-Feb-22,"$7,770 ",54,388.5,needs Shipping,,,,,,
Jehu Rudeforth,UK,85% Dark Bars,7-Jul-22,"$5,502 ",64,275.1,needs Shipping,,,,,,
Oby Sorrel,UK,70% Dark Bites,16-Mar-22,"$6,223 ",181,311.15,needs Shipping,,,,,,
Kelci Walkden,UK,99% Dark & Pure,12-Aug-22,"$3,507 ",114,175.35,needs Shipping,,,,,,
Gigi Bohling,New Zealand,After Nines,21-Jan-22,"$5,600 ",181,280,needs Shipping,,,,,,
Oby Sorrel,Australia,50% Dark Bites,6-May-22,$721 ,151,36.05,needs Shipping,,,,,,
Oby Sorrel,Canada,50% Dark Bites,24-Jun-22,"$6,615 ",137,330.75,needs Shipping,,,,,,
Barr Faughny,USA,White Choc,5-May-22,"$7,420 ",163,593.6,needs Shipping,,,,,,
Rafaelita Blaksland,New Zealand,99% Dark & Pure,25-Mar-22,"$3,164 ",84,158.2,needs Shipping,,,,,,
Curtice Advani,Australia,Caramel Stuffed Bars,14-Feb-22,"$9,114 ",140,455.7,needs Shipping,,,,,,
Curtice Advani,New Zealand,85% Dark Bars,12-May-22,"$5,404 ",187,270.2,needs Shipping,,,,,,
Barr Faughny,New Zealand,Smooth Sliky Salty,25-Jan-22,"$3,990 ",169,199.5,needs Shipping,,,,,,
Ches Bonnell,UK,85% Dark Bars,28-Jun-22,"$14,924 ",12,746.2,Delay Shipping,,,,,,
Dennison Crosswaite,Australia,Drinking Coco,13-Jul-22,"$7,091 ",194,354.55,needs Shipping,,,,,,
Roddy Speechley,USA,Milk Bars,16-May-22,"$2,807 ",252,224.56,needs Shipping,,,,,,
Jan Morforth,India,After Nines,14-Mar-22,"$6,496 ",168,324.8,needs Shipping,,,,,,
Gunar Cockshoot,USA,After Nines,15-Aug-22,"$3,738 ",261,299.04,needs Shipping,,,,,,
Ches Bonnell,India,Orange Choco,16-Feb-22,"$1,190 ",256,59.5,needs Shipping,,,,,,
Mallorie Waber,UK,Manuka Honey Choco,15-Jun-22,"$8,379 ",43,418.95,Delay Shipping,,,,,,
Barr Faughny,Australia,Raspberry Choco,27-May-22,"$9,268 ",100,463.4,needs Shipping,,,,,,
Wilone O'Kielt,USA,Drinking Coco,14-Jun-22,"$1,029 ",98,82.32,needs Shipping,,,,,,
Wilone O'Kielt,India,Eclairs,25-Feb-22,"$3,549 ",76,177.45,needs Shipping,,,,,,
Wilone O'Kielt,India,After Nines,4-Aug-22,"$12,026 ",262,601.3,needs Shipping,,,,,,
Kelci Walkden,India,99% Dark & Pure,28-Jun-22,"$2,303 ",244,115.15,needs Shipping,,,,,,
Gunar Cockshoot,Canada,Spicy Special Slims,5-Apr-22,"$13,405 ",12,670.25,Delay Shipping,,,,,,
Madelene Upcott,Canada,Peanut Butter Cubes,5-Jul-22,"$14,763 ",113,738.15,needs Shipping,,,,,,
Kaine Padly,New Zealand,Eclairs,20-Jan-22,"$12,894 ",48,644.7,Delay Shipping,,,,,,
Ches Bonnell,New Zealand,Drinking Coco,16-Feb-22,"$8,302 ",131,415.1,needs Shipping,,,,,,
Curtice Advani,UK,Drinking Coco,12-Jul-22,$455 ,174,22.75,needs Shipping,,,,,,
Kelci Walkden,India,Raspberry Choco,16-Jun-22,"$8,183 ",254,409.15,needs Shipping,,,,,,
Dotty Strutley,Australia,Choco Coated Almonds,13-Apr-22,"$1,645 ",284,82.25,needs Shipping,,,,,,
Kaine Padly,UK,50% Dark Bites,21-Feb-22,"$3,143 ",67,157.15,needs Shipping,,,,,,
Roddy Speechley,Canada,Choco Coated Almonds,11-May-22,"$5,873 ",249,293.65,needs Shipping,,,,,,
Ches Bonnell,India,50% Dark Bites,15-Apr-22,"$11,298 ",313,564.9,needs Shipping,,,,,,
Oby Sorrel,Canada,Peanut Butter Cubes,7-Jun-22,"$12,425 ",167,621.25,needs Shipping,,,,,,
Oby Sorrel,UK,White Choc,27-Jun-22,"$1,715 ",286,85.75,needs Shipping,,,,,,
Barr Faughny,India,After Nines,29-Jul-22,"$8,190 ",109,409.5,needs Shipping,,,,,,
Wilone O'Kielt,Canada,Smooth Sliky Salty,2-Jun-22,"$4,991 ",166,249.55,needs Shipping,,,,,,
Rafaelita Blaksland,India,Mint Chip Choco,26-Jan-22,"$15,491 ",85,774.55,needs Shipping,,,,,,
Rafaelita Blaksland,Canada,99% Dark & Pure,2-Mar-22,"$5,096 ",142,254.8,needs Shipping,,,,,,
Van Tuxwell,Australia,70% Dark Bites,10-Jan-22,"$7,063 ",104,353.15,needs Shipping,,,,,,
Beverie Moffet,USA,70% Dark Bites,27-Jun-22,"$2,275 ",115,182,needs Shipping,,,,,,
Barr Faughny,Canada,Orange Choco,30-Jun-22,"$7,602 ",18,380.1,Delay Shipping,,,,,,
Roddy Speechley,Australia,85% Dark Bars,8-Jul-22,"$4,200 ",80,210,needs Shipping,,,,,,
Oby Sorrel,India,Spicy Special Slims,8-Jun-22,"$11,137 ",88,556.85,needs Shipping,,,,,,
Jan Morforth,UK,Manuka Honey Choco,18-Aug-22,"$3,388 ",212,169.4,needs Shipping,,,,,,
Kaine Padly,Australia,After Nines,8-Apr-22,"$6,832 ",306,341.6,needs Shipping,,,,,,
Wilone O'Kielt,Canada,Fruit & Nut Bars,8-Aug-22,"$3,437 ",181,171.85,needs Shipping,,,,,,
Wilone O'Kielt,UK,Milk Bars,26-Aug-22,$301 ,65,15.05,needs Shipping,,,,,,
Oby Sorrel,Canada,Fruit & Nut Bars,14-Jan-22,"$1,869 ",158,93.45,needs Shipping,,,,,,
Dennison Crosswaite,USA,Baker's Choco Chips,11-Aug-22,"$17,465 ",271,1397.2,needs Shipping,,,,,,
Madelene Upcott,USA,Almond Choco,31-May-22,"$10,143 ",24,811.44,Delay Shipping,,,,,,
Van Tuxwell,New Zealand,50% Dark Bites,11-Jul-22,"$3,626 ",10,181.3,Delay Shipping,,,,,,
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2-Mar-22,"$3,346 ",304,167.3,needs Shipping,,,,,,
Madelene Upcott,Australia,Raspberry Choco,13-Jul-22,"$6,321 ",88,316.05,needs Shipping,,,,,,
Rafaelita Blaksland,UK,Spicy Special Slims,3-Aug-22,"$9,345 ",133,467.25,needs Shipping,,,,,,
Curtice Advani,UK,Peanut Butter Cubes,1-Mar-22,"$15,008 ",165,750.4,needs Shipping,,,,,,
Kelci Walkden,New Zealand,White Choc,13-Apr-22,"$7,609 ",150,380.45,needs Shipping,,,,,,
Beverie Moffet,Canada,Fruit & Nut Bars,14-Feb-22,"$10,332 ",180,516.6,needs Shipping,,,,,,
Mallorie Waber,India,White Choc,26-Jul-22,$819 ,213,40.95,needs Shipping,,,,,,
Brien Boise,UK,Drinking Coco,27-Jan-22,"$5,754 ",133,287.7,needs Shipping,,,,,,
Jehu Rudeforth,India,Peanut Butter Cubes,14-Apr-22,$28 ,446,1.4,needs Shipping,,,,,,
Oby Sorrel,USA,Almond Choco,19-May-22,"$6,440 ",141,515.2,needs Shipping,,,,,,
Husein Augar,India,Eclairs,9-Feb-22,"$4,956 ",58,247.8,needs Shipping,,,,,,
Brien Boise,UK,Spicy Special Slims,25-May-22,"$2,352 ",58,117.6,needs Shipping,,,,,,
Oby Sorrel,Australia,Manuka Honey Choco,26-Jan-22,"$3,906 ",76,195.3,needs Shipping,,,,,,
Beverie Moffet,India,White Choc,4-Jul-22,"$1,813 ",296,90.65,needs Shipping,,,,,,
Ches Bonnell,India,Almond Choco,13-Apr-22,"$11,788 ",73,589.4,needs Shipping,,,,,,
Gigi Bohling,Australia,Smooth Sliky Salty,25-Jan-22,"$5,768 ",119,288.4,needs Shipping,,,,,,
Camilla Castle,USA,85% Dark Bars,25-Apr-22,"$2,401 ",78,192.08,needs Shipping,,,,,,
Camilla Castle,USA,Eclairs,10-Jun-22,"$4,515 ",392,361.2,needs Shipping,,,,,,
Madelene Upcott,New Zealand,White Choc,22-Aug-22,"$10,794 ",51,539.7,needs Shipping,,,,,,
Van Tuxwell,India,After Nines,27-Jun-22,"$13,706 ",207,685.3,needs Shipping,,,,,,
